tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,bike_route_order
494,44:46.1,53:00.6,3362,Madison Ave & E 82 St,40.7781314,-73.96069399,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,35026,Subscriber,1957,1,31
631,53:27.5,03:59.5,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,35026,Subscriber,1988,2,32
705,00:18.5,12:03.7,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,435,W 21 St & 6 Ave,40.74173969,-73.99415556,35026,Subscriber,1980,1,33
235,12:49.1,16:44.5,435,W 21 St & 6 Ave,40.74173969,-73.99415556,325,E 19 St & 3 Ave,40.73624527,-73.98473765,35026,Subscriber,1987,1,34
268,54:24.3,58:52.8,325,E 19 St & 3 Ave,40.73624527,-73.98473765,174,E 25 St & 1 Ave,40.7381765,-73.97738662,35026,Subscriber,1978,1,35
368,37:15.5,43:23.7,174,E 25 St & 1 Ave,40.7381765,-73.97738662,3749,Lexington Ave & E 36 St,40.74757396,-73.97880077,35026,Subscriber,1988,1,36
629,48:00.2,58:30.0,3749,Lexington Ave & E 36 St,40.74757396,-73.97880077,403,E 2 St & 2 Ave,40.72502876,-73.99069656,35026,Subscriber,1972,1,37
1030,05:08.8,22:19.1,394,E 9 St & Avenue C,40.72521311,-73.97768752,351,Front St & Maiden Ln,40.70530954,-74.00612572,35026,Subscriber,1958,1,38
494,20:42.4,28:56.9,351,Front St & Maiden Ln,40.70530954,-74.00612572,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,35026,Customer,1969,0,39
6638,07:56.9,58:35.0,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,195,Liberty St & Broadway,40.70905623,-74.01043382,35026,Subscriber,1968,2,40
571,01:48.2,11:19.7,195,Liberty St & Broadway,40.70905623,-74.01043382,295,Pike St & E Broadway,40.71406667,-73.99293911,35026,Subscriber,1988,1,41
282,26:43.9,31:25.9,295,Pike St & E Broadway,40.71406667,-73.99293911,355,Bayard St & Baxter St,40.71602118,-73.99974372,35026,Subscriber,1988,1,42
729,32:26.3,44:35.4,355,Bayard St & Baxter St,40.71602118,-73.99974372,3744,1 Ave & E 5 St,40.725864,-73.986389,35026,Subscriber,1991,2,43
232,06:47.7,10:40.5,3744,1 Ave & E 5 St,40.725864,-73.986389,3788,E 12 St & 4 Av,40.732690000000005,-73.98974,35026,Subscriber,1996,1,44
979,32:03.2,48:22.4,3788,E 12 St & 4 Av,40.732690000000005,-73.98974,3680,E 43 St & 5 Ave,40.75412081,-73.98025185,35026,Subscriber,1985,1,45
532,24:32.3,33:24.8,3680,E 43 St & 5 Ave,40.75412081,-73.98025185,495,W 47 St & 10 Ave,40.76269882,-73.99301222,35026,Subscriber,1963,1,46
391,39:21.5,45:52.9,495,W 47 St & 10 Ave,40.76269882,-73.99301222,465,Broadway & W 41 St,40.75513557,-73.98658032,35026,Subscriber,1981,1,47
1279,20:33.5,41:53.5,465,Broadway & W 41 St,40.75513557,-73.98658032,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,35026,Subscriber,1991,1,48
2298,13:49.6,52:07.9,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,254,W 11 St & 6 Ave,40.73532427,-73.99800419,35026,Subscriber,1968,2,49
364,59:24.9,05:29.6,254,W 11 St & 6 Ave,40.73532427,-73.99800419,3641,Broadway & W 25 St,40.74286877,-73.98918629,35026,Subscriber,1989,1,50
338,03:25.6,09:04.2,3641,Broadway & W 25 St,40.74286877,-73.98918629,280,E 10 St & 5 Ave,40.73331967,-73.99510132,35026,Subscriber,1989,1,51
214,12:06.7,15:41.7,280,E 10 St & 5 Ave,40.73331967,-73.99510132,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,35026,Subscriber,1970,2,52
451,26:40.8,34:12.4,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,377,6 Ave & Canal St,40.72243797,-74.00566443,35026,Subscriber,1992,1,53
1123,12:08.9,30:52.3,377,6 Ave & Canal St,40.72243797,-74.00566443,519,Pershing Square North,40.751872999999996,-73.97770600000001,35026,Subscriber,1986,1,54
1207,31:22.0,51:29.5,519,Pershing Square North,40.751872999999996,-73.97770600000001,368,Carmine St & 6 Ave,40.73038599,-74.00214988,35026,Subscriber,1966,1,55
509,04:36.3,13:05.3,368,Carmine St & 6 Ave,40.73038599,-74.00214988,257,Lispenard St & Broadway,40.71939226,-74.00247214,35026,Subscriber,1991,2,56
278,42:08.5,46:46.8,257,Lispenard St & Broadway,40.71939226,-74.00247214,2009,Catherine St & Monroe St,40.71117444,-73.99682619,35026,Subscriber,1992,1,57
623,35:59.6,46:23.1,2009,Catherine St & Monroe St,40.71117444,-73.99682619,229,Great Jones St,40.72743423,-73.99379025,35026,Subscriber,1995,2,58
1005,23:13.0,39:58.4,229,Great Jones St,40.72743423,-73.99379025,526,E 33 St & 5 Ave,40.74765947,-73.98490707,35026,Subscriber,1995,2,59
192,31:03.7,34:16.4,526,E 33 St & 5 Ave,40.74765947,-73.98490707,3641,Broadway & W 25 St,40.74286877,-73.98918629,35026,Subscriber,1969,0,60
1239,43:11.4,03:50.9,3641,Broadway & W 25 St,40.74286877,-73.98918629,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,35026,Subscriber,1981,1,61
247,48:17.2,52:24.4,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,307,Canal St & Rutgers St,40.71427487,-73.98990025,35026,Subscriber,1960,1,62
1567,38:54.0,05:02.0,307,Canal St & Rutgers St,40.71427487,-73.98990025,446,W 24 St & 7 Ave,40.74487634,-73.99529885,35026,Subscriber,1984,1,63
1092,05:43.5,23:56.0,446,W 24 St & 7 Ave,40.74487634,-73.99529885,501,FDR Drive & E 35 St,40.744219,-73.97121214,35026,Subscriber,1988,2,64
742,28:18.5,40:41.4,501,FDR Drive & E 35 St,40.744219,-73.97121214,533,Broadway & W 38 St,40.75299641,-73.98721619,35026,Subscriber,1996,1,65
573,10:38.5,20:12.1,533,Broadway & W 38 St,40.75299641,-73.98721619,546,E 30 St & Park Ave S,40.74444921,-73.98303529,35026,Subscriber,1984,2,66
697,27:58.5,39:36.0,546,E 30 St & Park Ave S,40.74444921,-73.98303529,448,W 37 St & 10 Ave,40.75660359,-73.9979009,35026,Subscriber,1985,1,67
703,43:29.3,55:13.2,448,W 37 St & 10 Ave,40.75660359,-73.9979009,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,35026,Subscriber,1993,1,68
697,05:27.8,17:05.0,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,499,Broadway & W 60 St,40.76915505,-73.98191841,35026,Subscriber,1967,1,69
309,59:00.0,04:09.1,499,Broadway & W 60 St,40.76915505,-73.98191841,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,35026,Subscriber,1958,1,70
471,10:05.2,17:56.6,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3307,West End Ave & W 94 St,40.7941654,-73.974124,35026,Subscriber,1959,1,71
479,41:39.0,49:38.3,3307,West End Ave & W 94 St,40.7941654,-73.974124,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,35026,Subscriber,1959,1,72
389,02:15.0,08:44.8,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,422,W 59 St & 10 Ave,40.770513,-73.988038,35026,Subscriber,2000,1,73
172,46:37.4,49:30.1,422,W 59 St & 10 Ave,40.770513,-73.988038,499,Broadway & W 60 St,40.76915505,-73.98191841,35026,Subscriber,1989,1,74
563,49:43.6,59:06.8,499,Broadway & W 60 St,40.76915505,-73.98191841,454,E 51 St & 1 Ave,40.75455731,-73.96592976,35026,Subscriber,1961,1,75
558,02:54.7,12:13.1,454,E 51 St & 1 Ave,40.75455731,-73.96592976,3131,E 68 St & 3 Ave,40.7671284,-73.96224618,35026,Subscriber,1977,1,76
179,54:25.2,57:24.7,3131,E 68 St & 3 Ave,40.7671284,-73.96224618,3141,1 Ave & E 68 St,40.76500525,-73.95818491,35026,Subscriber,1964,1,77
976,07:42.2,23:58.4,3141,1 Ave & E 68 St,40.76500525,-73.95818491,456,E 53 St & Madison Ave,40.75971079999999,-73.97402311,35026,Subscriber,1978,1,78
1061,38:50.1,56:31.1,456,E 53 St & Madison Ave,40.75971079999999,-73.97402311,3255,8 Ave & W 31 St,40.75058535,-73.99468482,35026,Subscriber,1978,1,79
831,35:12.3,49:03.8,3255,8 Ave & W 31 St,40.75058535,-73.99468482,128,MacDougal St & Prince St,40.72710258,-74.00297088,35026,Subscriber,1984,1,80
703,23:46.4,35:29.6,128,MacDougal St & Prince St,40.72710258,-74.00297088,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,35026,Subscriber,1976,1,81
468,24:57.7,32:46.4,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,35026,Customer,1972,2,82
511,46:07.4,54:38.7,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,35026,Subscriber,1972,1,83
